# experiment XYZ
25 14479.165641
2 30140.383224
49 30380.726933
4 59027.871741
3 51503.491910
107 68978.089176
37 50486.349965
284 131448.309773
141 174149.968524
7 171375.276968
74 172757.233609
4 119736.602698
86 185792.998873
61 172459.126960
61 150200.397492
99 299528.536785
14 302516.178848
28 299743.972025
141 192646.324807
9 201496.311029
7 194550.415532
165 393192.753258
27 397514.663039
62 414989.599433
40 411615.745376
92 437438.349111
20 440794.002331
4 442205.341790
85 465453.680855
70 485274.478996
24 495537.812456
30 503849.394746
13 276244.215698
59 519443.096824
176 307877.638690
1 293846.183244
79 587467.294638
68 608915.164406
27 609341.820809
18 616098.653986
101 641168.250174
1 333959.600245
12 332627.590793
104 361300.082101
102 703842.183079
142 391759.028355
62 761787.433180
197 817873.682115
7 817876.802011
18 817611.167982
49 819569.071050
79 842212.011604
27 855047.673497
27 844047.227929
26 433699.634628
14 436295.871881
50 866924.534500
9 865606.831063
4 866581.510939
114 901259.566478
7 901478.890406
29 907100.527735
20 902958.941340
52 908611.639435
36 482196.632955
132 963075.339300
60 974692.280883
17 979335.203178
26 979096.154254
22 973375.392787
140 1016545.404205
43 534584.566648
16 532948.780982
47 561965.625872
19 558459.313909
23 577101.553215
228 642278.365426
146 665458.314770
459 1307400.365402
10 1304729.670095
